Ensembl Gene ID,Alpaca Ensembl Gene ID,Human Ensembl Gene ID
ENSPFOG00000002175,ENSVPAG00000010163,ENSG00000133059
ENSPFOG00000000791,ENSVPAG00000006850,ENSG00000164756
ENSPFOG00000006314,,ENSG00000172794
ENSPFOG00000024378,,
ENSPFOG00000002186,ENSVPAG00000005885,ENSG00000070018
ENSPFOG00000006380,ENSVPAG00000002224,ENSG00000108826
ENSPFOG00000006384,ENSVPAG00000002225,ENSG00000154920
ENSPFOG00000006154,,ENSG00000100083
ENSPFOG00000012055,,ENSG00000157212
ENSPFOG00000012055,,ENSG00000157212
ENSPFOG00000022228,,ENSG00000111261
ENSPFOG00000022228,,ENSG00000111261
ENSPFOG00000006261,,ENSG00000100139
ENSPFOG00000006428,ENSVPAG00000008163,ENSG00000154975
ENSPFOG00000006500,,
ENSPFOG00000002716,,ENSG00000255432
ENSPFOG00000002716,,ENSG00000255432
ENSPFOG00000002716,,ENSG00000278615
ENSPFOG00000002716,,ENSG00000278615
ENSPFOG00000022697,,
ENSPFOG00000022697,,
ENSPFOG00000022697,,
ENSPFOG00000006532,,ENSG00000166482
ENSPFOG00000002760,ENSVPAG00000012176,ENSG00000087494
ENSPFOG00000002771,,ENSG00000105640
ENSPFOG00000024391,ENSVPAG00000002356,ENSG00000173482
ENSPFOG00000024391,ENSVPAG00000002356,ENSG00000173482
ENSPFOG00000024391,ENSVPAG00000002356,ENSG00000173482
ENSPFOG00000006623,ENSVPAG00000006129,ENSG00000204147
ENSPFOG00000006623,ENSVPAG00000006129,ENSG00000188611
ENSPFOG00000002834,ENSVPAG00000004244,ENSG00000184575
ENSPFOG00000008659,ENSVPAG00000007983,ENSG00000206422
ENSPFOG00000003058,ENSVPAG00000005375,ENSG00000100220
ENSPFOG00000012133,ENSVPAG00000006193,ENSG00000146910
ENSPFOG00000012133,ENSVPAG00000006193,ENSG00000146910
ENSPFOG00000006897,ENSVPAG00000012582,ENSG00000148541
ENSPFOG00000008781,ENSVPAG00000006379,ENSG00000137270
ENSPFOG00000008781,ENSVPAG00000006379,ENSG00000124827
ENSPFOG00000008781,ENSVPAG00000003006,ENSG00000137270
ENSPFOG00000008781,ENSVPAG00000003006,ENSG00000124827
ENSPFOG00000000386,,ENSG00000183779
ENSPFOG00000000806,,ENSG00000148798
ENSPFOG00000023451,,
ENSPFOG00000000394,ENSVPAG00000009725,ENSG00000155324
ENSPFOG00000017595,,ENSG00000196350
ENSPFOG00000017595,,ENSG00000196247
ENSPFOG00000017595,,ENSG00000256294
ENSPFOG00000017595,,ENSG00000198182
ENSPFOG00000017595,,ENSG00000204514
ENSPFOG00000017595,,ENSG00000189190
ENSPFOG00000017595,,ENSG00000128000
ENSPFOG00000008877,,
ENSPFOG00000012165,,ENSG00000164778
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000182903
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000197608
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000198482
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000196670
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000196267
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000213799
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000180626
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000196757
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000167232
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000102870
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000160321
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000090612
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000274349
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000131115
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000213973
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000267041
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000187187
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000227124
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000167380
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000197566
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000245680
ENSPFOG00000022411,ENSVPAG00000006930,ENSG00000170631
ENSPFOG00000010735,,
ENSPFOG00000017600,,
ENSPFOG00000003189,,
ENSPFOG00000000458,,ENSG00000127191
ENSPFOG00000000458,,ENSG00000127191
ENSPFOG00000023017,,
ENSPFOG00000000182,,
ENSPFOG00000020970,,ENSG00000185985
ENSPFOG00000002800,ENSVPAG00000003345,ENSG00000133742
ENSPFOG00000002800,ENSVPAG00000003345,ENSG00000164879
ENSPFOG00000002800,ENSVPAG00000003345,ENSG00000185015
ENSPFOG00000002800,ENSVPAG00000003345,ENSG00000104267
ENSPFOG00000002800,ENSVPAG00000003346,ENSG00000133742
ENSPFOG00000002800,ENSVPAG00000003346,ENSG00000164879
ENSPFOG00000002800,ENSVPAG00000003346,ENSG00000185015
ENSPFOG00000002800,ENSVPAG00000003346,ENSG00000104267
ENSPFOG00000002800,ENSVPAG00000003347,ENSG00000133742
ENSPFOG00000002800,ENSVPAG00000003347,ENSG00000164879
ENSPFOG00000002800,ENSVPAG00000003347,ENSG00000185015
ENSPFOG00000002800,ENSVPAG00000003347,ENSG00000104267
ENSPFOG00000008884,,ENSG00000141404
ENSPFOG00000000520,ENSVPAG00000009320,ENSG00000189184
ENSPFOG00000021965,,
ENSPFOG00000006946,,
ENSPFOG00000002927,,
ENSPFOG00000022369,ENSVPAG00000000038,ENSG00000182405
ENSPFOG00000022369,ENSVPAG00000000038,ENSG00000182405
ENSPFOG00000011404,,ENSG00000131165
ENSPFOG00000011404,,ENSG00000131165
ENSPFOG00000003453,ENSVPAG00000008716,ENSG00000111144
ENSPFOG00000009055,,ENSG00000198081
ENSPFOG00000007437,ENSVPAG00000006130,ENSG00000148584
ENSPFOG00000011721,,ENSG00000152315
ENSPFOG00000000675,ENSVPAG00000006754,ENSG00000041982
ENSPFOG00000000675,ENSVPAG00000006754,ENSG00000041982
ENSPFOG00000011724,ENSVPAG00000011255,ENSG00000100764
ENSPFOG00000009104,ENSVPAG00000004487,ENSG00000088756
ENSPFOG00000011790,ENSVPAG00000004563,ENSG00000198668
ENSPFOG00000011790,ENSVPAG00000009286,ENSG00000198668
ENSPFOG00000003778,ENSVPAG00000004248,ENSG00000111490
ENSPFOG00000003778,ENSVPAG00000004248,ENSG00000111490
ENSPFOG00000003778,ENSVPAG00000004248,ENSG00000111490
ENSPFOG00000002793,,ENSG00000107562
ENSPFOG00000011828,ENSVPAG00000010442,ENSG00000100916
ENSPFOG00000009224,ENSVPAG00000008718,ENSG00000154655
ENSPFOG00000002813,,ENSG00000107562
ENSPFOG00000002837,,
ENSPFOG00000011925,ENSVPAG00000010442,ENSG00000100916
ENSPFOG00000011484,,ENSG00000187741
ENSPFOG00000011484,,ENSG00000187741
ENSPFOG00000000062,,ENSG00000154889
ENSPFOG00000001062,,
ENSPFOG00000021914,ENSVPAG00000004487,ENSG00000088756
ENSPFOG00000001075,,
ENSPFOG00000001135,ENSVPAG00000008915,ENSG00000161048
ENSPFOG00000002877,ENSVPAG00000003391,ENSG00000108039
ENSPFOG00000002877,ENSVPAG00000003391,ENSG00000108039
ENSPFOG00000011973,ENSVPAG00000010437,ENSG00000100906
ENSPFOG00000011320,,ENSG00000080511
ENSPFOG00000000072,,
ENSPFOG00000009479,,
ENSPFOG00000009479,,
ENSPFOG00000001009,ENSVPAG00000010827,ENSG00000145675
ENSPFOG00000022267,ENSVPAG00000006454,ENSG00000083093
ENSPFOG00000022267,ENSVPAG00000006454,ENSG00000083093
ENSPFOG00000022267,ENSVPAG00000006454,ENSG00000083093
ENSPFOG00000000084,,ENSG00000137210
ENSPFOG00000000084,,ENSG00000111843
ENSPFOG00000012070,ENSVPAG00000005691,ENSG00000100902
ENSPFOG00000022701,,
ENSPFOG00000022701,,
ENSPFOG00000004121,ENSVPAG00000010289,ENSG00000065675
ENSPFOG00000004121,ENSVPAG00000010289,ENSG00000065675
ENSPFOG00000012111,ENSVPAG00000005677,ENSG00000151327
ENSPFOG00000009502,ENSVPAG00000001500,ENSG00000082397
ENSPFOG00000000086,ENSVPAG00000003003,ENSG00000111845
ENSPFOG00000000086,ENSVPAG00000003003,ENSG00000111845
ENSPFOG00000011431,,ENSG00000166851
ENSPFOG00000012144,,ENSG00000185070
ENSPFOG00000011742,ENSVPAG00000012285,ENSG00000158805
ENSPFOG00000012147,ENSVPAG00000012143,ENSG00000258597
ENSPFOG00000012147,ENSVPAG00000012143,ENSG00000165953
ENSPFOG00000012147,ENSVPAG00000012143,ENSG00000273259
ENSPFOG00000012147,ENSVPAG00000012143,ENSG00000170099
ENSPFOG00000012147,ENSVPAG00000012143,ENSG00000123561
ENSPFOG00000012147,ENSVPAG00000012143,ENSG00000197249
ENSPFOG00000012147,ENSVPAG00000012143,ENSG00000188488
ENSPFOG00000012147,ENSVPAG00000012143,ENSG00000196136
ENSPFOG00000012147,ENSVPAG00000012143,ENSG00000186910
ENSPFOG00000012147,ENSVPAG00000012143,ENSG00000100665
ENSPFOG00000012147,ENSVPAG00000012143,ENSG00000170054
ENSPFOG00000012147,ENSVPAG00000001199,ENSG00000258597
ENSPFOG00000012147,ENSVPAG00000001199,ENSG00000165953
ENSPFOG00000012147,ENSVPAG00000001199,ENSG00000273259
ENSPFOG00000012147,ENSVPAG00000001199,ENSG00000170099
ENSPFOG00000012147,ENSVPAG00000001199,ENSG00000123561
ENSPFOG00000012147,ENSVPAG00000001199,ENSG00000197249
ENSPFOG00000012147,ENSVPAG00000001199,ENSG00000188488
ENSPFOG00000012147,ENSVPAG00000001199,ENSG00000196136
ENSPFOG00000012147,ENSVPAG00000001199,ENSG00000186910
ENSPFOG00000012147,ENSVPAG00000001199,ENSG00000100665
ENSPFOG00000012147,ENSVPAG00000001199,ENSG00000170054
ENSPFOG00000012147,ENSVPAG00000006374,ENSG00000258597
ENSPFOG00000012147,ENSVPAG00000006374,ENSG00000165953
ENSPFOG00000012147,ENSVPAG00000006374,ENSG00000273259
ENSPFOG00000012147,ENSVPAG00000006374,ENSG00000170099
ENSPFOG00000012147,ENSVPAG00000006374,ENSG00000123561
ENSPFOG00000012147,ENSVPAG00000006374,ENSG00000197249
ENSPFOG00000012147,ENSVPAG00000006374,ENSG00000188488
ENSPFOG00000012147,ENSVPAG00000006374,ENSG00000196136
ENSPFOG00000012147,ENSVPAG00000006374,ENSG00000186910
ENSPFOG00000012147,ENSVPAG00000006374,ENSG00000100665
ENSPFOG00000012147,ENSVPAG00000006374,ENSG00000170054
ENSPFOG00000012147,ENSVPAG00000001198,ENSG00000258597
ENSPFOG00000012147,ENSVPAG00000001198,ENSG00000165953
ENSPFOG00000012147,ENSVPAG00000001198,ENSG00000273259
ENSPFOG00000012147,ENSVPAG00000001198,ENSG00000170099
ENSPFOG00000012147,ENSVPAG00000001198,ENSG00000123561
ENSPFOG00000012147,ENSVPAG00000001198,ENSG00000197249
ENSPFOG00000012147,ENSVPAG00000001198,ENSG00000188488
ENSPFOG00000012147,ENSVPAG00000001198,ENSG00000196136
ENSPFOG00000012147,ENSVPAG00000001198,ENSG00000186910
ENSPFOG00000012147,ENSVPAG00000001198,ENSG00000100665
ENSPFOG00000012147,ENSVPAG00000001198,ENSG00000170054
ENSPFOG00000012147,ENSVPAG00000002562,ENSG00000258597
ENSPFOG00000012147,ENSVPAG00000002562,ENSG00000165953
ENSPFOG00000012147,ENSVPAG00000002562,ENSG00000273259
ENSPFOG00000012147,ENSVPAG00000002562,ENSG00000170099
ENSPFOG00000012147,ENSVPAG00000002562,ENSG00000123561
ENSPFOG00000012147,ENSVPAG00000002562,ENSG00000197249
ENSPFOG00000012147,ENSVPAG00000002562,ENSG00000188488
ENSPFOG00000012147,ENSVPAG00000002562,ENSG00000196136
ENSPFOG00000012147,ENSVPAG00000002562,ENSG00000186910
ENSPFOG00000012147,ENSVPAG00000002562,ENSG00000100665
ENSPFOG00000012147,ENSVPAG00000002562,ENSG00000170054
ENSPFOG00000012147,ENSVPAG00000008108,ENSG00000258597
ENSPFOG00000012147,ENSVPAG00000008108,ENSG00000165953
ENSPFOG00000012147,ENSVPAG00000008108,ENSG00000273259
ENSPFOG00000012147,ENSVPAG00000008108,ENSG00000170099
ENSPFOG00000012147,ENSVPAG00000008108,ENSG00000123561
ENSPFOG00000012147,ENSVPAG00000008108,ENSG00000197249
ENSPFOG00000012147,ENSVPAG00000008108,ENSG00000188488
ENSPFOG00000012147,ENSVPAG00000008108,ENSG00000196136
ENSPFOG00000012147,ENSVPAG00000008108,ENSG00000186910
ENSPFOG00000012147,ENSVPAG00000008108,ENSG00000100665
ENSPFOG00000012147,ENSVPAG00000008108,ENSG00000170054
ENSPFOG00000012147,ENSVPAG00000011856,ENSG00000258597
ENSPFOG00000012147,ENSVPAG00000011856,ENSG00000165953
ENSPFOG00000012147,ENSVPAG00000011856,ENSG00000273259
ENSPFOG00000012147,ENSVPAG00000011856,ENSG00000170099
ENSPFOG00000012147,ENSVPAG00000011856,ENSG00000123561
ENSPFOG00000012147,ENSVPAG00000011856,ENSG00000197249
ENSPFOG00000012147,ENSVPAG00000011856,ENSG00000188488
ENSPFOG00000012147,ENSVPAG00000011856,ENSG00000196136
ENSPFOG00000012147,ENSVPAG00000011856,ENSG00000186910
ENSPFOG00000012147,ENSVPAG00000011856,ENSG00000100665
ENSPFOG00000012147,ENSVPAG00000011856,ENSG00000170054
ENSPFOG00000000094,,
ENSPFOG00000011521,ENSVPAG00000011625,
ENSPFOG00000001557,ENSVPAG00000008302,ENSG00000197157
ENSPFOG00000011065,ENSVPAG00000003215,ENSG00000023191
ENSPFOG00000011065,ENSVPAG00000003215,ENSG00000023191
ENSPFOG00000011065,ENSVPAG00000003215,ENSG00000023191
ENSPFOG00000011065,ENSVPAG00000003215,ENSG00000023191
ENSPFOG00000011065,ENSVPAG00000012459,ENSG00000023191
ENSPFOG00000011065,ENSVPAG00000012459,ENSG00000023191
ENSPFOG00000011065,ENSVPAG00000012459,ENSG00000023191
ENSPFOG00000011065,ENSVPAG00000012459,ENSG00000023191
ENSPFOG00000011065,ENSVPAG00000002795,ENSG00000023191
ENSPFOG00000011065,ENSVPAG00000002795,ENSG00000023191
ENSPFOG00000011065,ENSVPAG00000002795,ENSG00000023191
ENSPFOG00000011065,ENSVPAG00000002795,ENSG00000023191
ENSPFOG00000011065,ENSVPAG00000004941,ENSG00000023191
ENSPFOG00000011065,ENSVPAG00000004941,ENSG00000023191
ENSPFOG00000011065,ENSVPAG00000004941,ENSG00000023191
ENSPFOG00000011065,ENSVPAG00000004941,ENSG00000023191
ENSPFOG00000001593,ENSVPAG00000005065,ENSG00000069020
ENSPFOG00000001593,ENSVPAG00000005065,ENSG00000069020
ENSPFOG00000001593,ENSVPAG00000005065,ENSG00000069020
ENSPFOG00000021985,ENSVPAG00000006818,ENSG00000165959
ENSPFOG00000000104,,ENSG00000154222
ENSPFOG00000011813,,ENSG00000075399
ENSPFOG00000012181,ENSVPAG00000008988,ENSG00000182512
ENSPFOG00000011865,,
ENSPFOG00000004663,,ENSG00000198879
ENSPFOG00000003169,ENSVPAG00000003396,ENSG00000148700
ENSPFOG00000003169,ENSVPAG00000003396,ENSG00000148700
ENSPFOG00000011557,,ENSG00000106012
ENSPFOG00000011557,,ENSG00000106012
ENSPFOG00000012194,ENSVPAG00000004589,ENSG00000104299
ENSPFOG00000023950,,
ENSPFOG00000000125,ENSVPAG00000004451,ENSG00000157077
ENSPFOG00000023707,,ENSG00000158792
ENSPFOG00000023707,,ENSG00000158792
ENSPFOG00000023707,,ENSG00000158792
ENSPFOG00000023790,,
ENSPFOG00000009921,ENSVPAG00000004488,ENSG00000101680
ENSPFOG00000011894,ENSVPAG00000003989,ENSG00000258429
ENSPFOG00000011894,ENSVPAG00000003989,ENSG00000258429
ENSPFOG00000001959,ENSVPAG00000008654,ENSG00000153914
ENSPFOG00000001959,ENSVPAG00000008654,ENSG00000153914
ENSPFOG00000011912,,
ENSPFOG00000010688,,
ENSPFOG00000012333,ENSVPAG00000003627,ENSG00000146070
ENSPFOG00000012333,ENSVPAG00000003627,ENSG00000146070
ENSPFOG00000000147,,
ENSPFOG00000011917,ENSVPAG00000002908,ENSG00000198650
ENSPFOG00000000155,ENSVPAG00000004445,ENSG00000117862
ENSPFOG00000011614,,ENSG00000136295
ENSPFOG00000012029,,
ENSPFOG00000010788,,
ENSPFOG00000010788,,
ENSPFOG00000023001,ENSVPAG00000010860,ENSG00000137960
ENSPFOG00000023001,ENSVPAG00000010860,ENSG00000137960
ENSPFOG00000011823,ENSVPAG00000002480,ENSG00000137460
ENSPFOG00000012125,ENSVPAG00000007602,ENSG00000135686
ENSPFOG00000000169,ENSVPAG00000004710,ENSG00000162616
ENSPFOG00000012487,,ENSG00000180113
ENSPFOG00000012487,,ENSG00000180113
ENSPFOG00000002392,ENSVPAG00000008301,ENSG00000106331
ENSPFOG00000002392,ENSVPAG00000008301,ENSG00000106331
ENSPFOG00000002392,ENSVPAG00000008301,ENSG00000106331
ENSPFOG00000022136,,ENSG00000087152
ENSPFOG00000022136,,ENSG00000087152
ENSPFOG00000022136,,ENSG00000253719
ENSPFOG00000022136,,ENSG00000253719
ENSPFOG00000000196,,
ENSPFOG00000000196,,
ENSPFOG00000012232,ENSVPAG00000010744,ENSG00000103187
ENSPFOG00000012018,ENSVPAG00000002475,ENSG00000164144
ENSPFOG00000012018,ENSVPAG00000002475,ENSG00000164144
ENSPFOG00000023710,,
ENSPFOG00000021922,ENSVPAG00000003400,ENSG00000119950
ENSPFOG00000002040,,ENSG00000240720
ENSPFOG00000002040,,ENSG00000240720
ENSPFOG00000002040,,ENSG00000240720
ENSPFOG00000002040,,ENSG00000240720
ENSPFOG00000002040,,ENSG00000240720
ENSPFOG00000012235,ENSVPAG00000010643,ENSG00000140950
ENSPFOG00000012494,ENSVPAG00000005546,ENSG00000115128
ENSPFOG00000024437,ENSVPAG00000001742,ENSG00000138166
ENSPFOG00000015313,ENSVPAG00000009637,ENSG00000108604
ENSPFOG00000002427,ENSVPAG00000009828,ENSG00000019991
ENSPFOG00000012520,,ENSG00000163032
ENSPFOG00000010760,ENSVPAG00000002007,ENSG00000198721
ENSPFOG00000004084,ENSVPAG00000001744,ENSG00000108055
ENSPFOG00000000238,ENSVPAG00000004709,ENSG00000162613
ENSPFOG00000000238,ENSVPAG00000004709,ENSG00000162613
ENSPFOG00000010785,ENSVPAG00000012377,ENSG00000106617
ENSPFOG00000012123,ENSVPAG00000008681,ENSG00000125386
ENSPFOG00000012123,ENSVPAG00000008681,ENSG00000125386
ENSPFOG00000012123,ENSVPAG00000008681,ENSG00000125386
ENSPFOG00000012123,ENSVPAG00000008681,ENSG00000125386
ENSPFOG00000012123,ENSVPAG00000008681,ENSG00000125386
ENSPFOG00000012123,ENSVPAG00000008681,ENSG00000125386
ENSPFOG00000015508,ENSVPAG00000009636,ENSG00000087191
ENSPFOG00000012280,ENSVPAG00000000730,ENSG00000197943
ENSPFOG00000015572,ENSVPAG00000009102,ENSG00000161647
ENSPFOG00000002812,ENSVPAG00000009605,ENSG00000153956
ENSPFOG00000023279,,
ENSPFOG00000004859,ENSVPAG00000001754,ENSG00000203867
ENSPFOG00000004859,ENSVPAG00000001754,ENSG00000203867
ENSPFOG00000011019,,ENSG00000127377
ENSPFOG00000002240,ENSVPAG00000008652,ENSG00000123213
ENSPFOG00000023803,ENSVPAG00000002480,ENSG00000137460
ENSPFOG00000000368,ENSVPAG00000005828,ENSG00000180488
ENSPFOG00000022827,ENSVPAG00000002475,ENSG00000164144
ENSPFOG00000011058,ENSVPAG00000012374,ENSG00000013374
ENSPFOG00000005006,ENSVPAG00000001758,ENSG00000150593
ENSPFOG00000015656,,
ENSPFOG00000012293,ENSVPAG00000007777,ENSG00000168884
ENSPFOG00000024514,,
ENSPFOG00000000441,ENSVPAG00000001423,ENSG00000077254
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000103313
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000103313
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000128253
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000128253
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000128276
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000128276
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000128250
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000128250
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000229292
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000229292
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000251258
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000251258
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000179046
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000179046
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000223638
ENSPFOG00000024698,ENSVPAG00000011423,ENSG00000223638
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000103313
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000103313
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000128253
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000128253
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000128276
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000128276
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000128250
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000128250
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000229292
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000229292
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000251258
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000251258
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000179046
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000179046
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000223638
ENSPFOG00000024698,ENSVPAG00000006802,ENSG00000223638
ENSPFOG00000015344,,
ENSPFOG00000015344,,
ENSPFOG00000010353,,
ENSPFOG00000024499,,
ENSPFOG00000022051,ENSVPAG00000003955,ENSG00000166535
ENSPFOG00000005200,ENSVPAG00000001765,
ENSPFOG00000005227,ENSVPAG00000009576,ENSG00000108061
ENSPFOG00000006738,ENSVPAG00000010191,ENSG00000169126
ENSPFOG00000006738,ENSVPAG00000010191,ENSG00000169126
ENSPFOG00000006059,,ENSG00000050820
ENSPFOG00000006059,,ENSG00000050820
ENSPFOG00000006059,,ENSG00000050820
ENSPFOG00000023188,,
ENSPFOG00000023188,,
ENSPFOG00000012330,ENSVPAG00000006393,ENSG00000145423
ENSPFOG00000012330,ENSVPAG00000006393,ENSG00000145423
ENSPFOG00000005352,,
ENSPFOG00000006116,ENSVPAG00000002581,ENSG00000072736
ENSPFOG00000011144,,ENSG00000093217
ENSPFOG00000011144,,ENSG00000093217
ENSPFOG00000006968,ENSVPAG00000010190,ENSG00000150051
ENSPFOG00000000834,ENSVPAG00000001421,ENSG00000036549
ENSPFOG00000022387,,
ENSPFOG00000003912,ENSVPAG00000003974,ENSG00000186472
ENSPFOG00000003912,ENSVPAG00000003974,ENSG00000186472
ENSPFOG00000003912,ENSVPAG00000003975,ENSG00000186472
ENSPFOG00000003912,ENSVPAG00000003975,ENSG00000186472
ENSPFOG00000012926,ENSVPAG00000005977,ENSG00000102934
ENSPFOG00000012926,ENSVPAG00000005977,ENSG00000102934
ENSPFOG00000005493,,ENSG00000032444
ENSPFOG00000012360,ENSVPAG00000006190,ENSG00000197410
ENSPFOG00000005500,,ENSG00000158517
ENSPFOG00000000682,,
ENSPFOG00000023992,ENSVPAG00000005976,ENSG00000102931
ENSPFOG00000001261,ENSVPAG00000000213,ENSG00000174827
ENSPFOG00000006534,ENSVPAG00000011841,ENSG00000167863
ENSPFOG00000001366,,ENSG00000188092
ENSPFOG00000001366,,ENSG00000117262
ENSPFOG00000012502,ENSVPAG00000006194,ENSG00000171566
ENSPFOG00000006536,,ENSG00000120149
ENSPFOG00000001049,ENSVPAG00000001420,ENSG00000154027
ENSPFOG00000001049,ENSVPAG00000001420,ENSG00000154027
ENSPFOG00000011992,,
ENSPFOG00000005605,ENSVPAG00000003874,ENSG00000073849
ENSPFOG00000006558,,
ENSPFOG00000000478,,ENSG00000135622
ENSPFOG00000000478,,ENSG00000135622
ENSPFOG00000012954,ENSVPAG00000005974,ENSG00000159579
ENSPFOG00000002872,ENSVPAG00000008651,ENSG00000197860
ENSPFOG00000002872,ENSVPAG00000008651,ENSG00000197860
ENSPFOG00000001520,ENSVPAG00000007140,ENSG00000091972
ENSPFOG00000004189,ENSVPAG00000003977,ENSG00000075213
ENSPFOG00000023113,,ENSG00000261652
ENSPFOG00000006611,,ENSG00000169189
ENSPFOG00000006611,,ENSG00000169189
ENSPFOG00000012642,ENSVPAG00000006198,ENSG00000171557
ENSPFOG00000024655,ENSVPAG00000007643,ENSG00000087206
ENSPFOG00000024655,ENSVPAG00000007643,ENSG00000087206
ENSPFOG00000013043,ENSVPAG00000009114,ENSG00000129055
ENSPFOG00000007718,,
ENSPFOG00000012684,,ENSG00000121207
ENSPFOG00000011341,,
ENSPFOG00000011341,,
ENSPFOG00000005876,ENSVPAG00000010247,ENSG00000117595
ENSPFOG00000005876,ENSVPAG00000010247,ENSG00000117595
ENSPFOG00000000550,ENSVPAG00000004679,ENSG00000159374
ENSPFOG00000000550,ENSVPAG00000004679,ENSG00000159374
ENSPFOG00000013056,ENSVPAG00000002833,ENSG00000102900
